Source project,record_id,Decision bucket,Priority score,Rules triggered,Why flagged (1-2 line inference)
Source Project 4581,109,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1092,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1119,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1120,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1131,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1132,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1134,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1136,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,115,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1162,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1168,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1172,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1175,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1184,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1194,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1196,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1199,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1200,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1205,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1213,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1225,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,123,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1232,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1235,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1237,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1266,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1269,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1274,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1287,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1288,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1293,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1295,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1301,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1302,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,131,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1311,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1315,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1319,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1325,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1327,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,133,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1330,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1332,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1340,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,135,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1351,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1355,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,137,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1378,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1386,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1388,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1390,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1393,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1395,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1396,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1397,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1398,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1405,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1408,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1409,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,141,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1410,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1414,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1419,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1426,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1438,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,144,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1440,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1441,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1449,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1450,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,147,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1477,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1478,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1497,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1499,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1501,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1510,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1512,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1514,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1515,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1516,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1518,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1536,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1538,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1539,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1542,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1548,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1549,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1556,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1573,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1576,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1579,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1583,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1592,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1595,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1626,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1627,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1633,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1635,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1636,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1639,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1644,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1651,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1657,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1658,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1659,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1670,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1673,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1680,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1683,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1689,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1700,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1708,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1709,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1713,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1725,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1729,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,173,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,175,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1759,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1760,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1761,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1769,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,1773,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,185,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,193,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,206,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,223,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,227,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,235,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,244,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,248,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,249,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,250,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,252,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,256,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,268,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,289,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,292,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,320,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,333,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,338,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,339,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,343,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,347,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,353,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,355,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,369,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,384,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,388,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,389,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,396,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,398,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,403,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,405,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,410,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,418,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,421,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,431,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,442,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,450,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,451,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,453,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,455,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,456,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,474,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,480,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,481,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,483,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,484,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,486,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,490,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,491,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,511,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,513,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,518,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,522,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,530,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,531,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,535,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,537,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,54,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,540,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,544,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,545,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
Source Project 4581,548,Manual review required,6,"R1, R2","Flagged for review: multiple Tier 1 rules (R1, R2) triggered; manual verification needed before payment."
